file_name,relative_path,pdf_path,title,family,document_type,project_role,line_name,frontline_status,status_reason,reading_priority,sequence_stage,upstream_dependency,downstream_target,benchmark_effect,short_description,current_use_rule,last_known_relevance
aether_flow_primitive_reservoir_observer_reduction_yocto_section_minimizer_section_generating_substrate_selector_dynamics_from_selector_generating_substrate_pre_selector_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_yocto_section_minimizer_section_generating_substrate_selector_dynamics_from_selector_generating_substrate_pre_selector_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_yocto_section_minimizer_section_generating_substrate_selector_dynamics_from_selector_generating_substrate_pre_selector_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Yocto-Section-Minimizer-Section-Generating Substrate Selector Dynamics from Selector-Generating Substrate Pre-Selector Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current selector dynamics as a primitive stopping point before the later pre-selector minimizer-section-core theorem shrank the live burden further inside that pre-selector package.,historical,primitive_reduction_prior_pre_selector_minimizer_section_core_frontier,observer-relevant yocto-section minimizer-section core from yocto-section-minimizer-section-generating substrate selector dynamics theorem and the recorded current selector package,selector-generating substrate pre-selector dynamics collapse to observer-relevant pre-selector minimizer-section core theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the sharper pre-selector minimizer-section-core frontier.,Derives the current yocto-section-minimizer-section-generating substrate selector dynamics canonically from deeper pre-selector dynamics and now serves as the handoff into the sharper pre-selector minimizer-section-core frontier.,Consult only after the front door and routing layer when immediate pre-selector frontier history matters.,2026-04-04 routing audit
aether_flow_primitive_reservoir_observer_reduction_selector_generating_substrate_pre_selector_dynamics_collapse_to_observer_relevant_pre_selector_minimizer_section_core_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_selector_generating_substrate_pre_selector_dynamics_collapse_to_observer_relevant_pre_selector_minimizer_section_core_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_selector_generating_substrate_pre_selector_dynamics_collapse_to_observer_relevant_pre_selector_minimizer_section_core_theorem.pdf,Primitive-Reservoir Observer Reduction Selector-Generating Substrate Pre-Selector Dynamics Collapse to an Observer-Relevant Pre-Selector Minimizer-Section Core,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it shrank the live burden inside the current pre-selector package to the smaller observer-relevant pre-selector minimizer-section core before the later selector-dynamics theorem removed that section core itself as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_selector_dynamics_frontier,yocto-section-minimizer-section-generating substrate selector dynamics from selector-generating substrate pre-selector dynamics theorem and the recorded current selector benchmark base,observer-relevant pre-selector minimizer-section core from pre-selector-minimizer-section-generating substrate selector dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector selector-dynamics frontier.,Proves that the current selector-generating substrate pre-selector dynamics collapse benchmark-facingly to a smaller observer-relevant pre-selector minimizer-section core and now serves as the handoff into the deeper pre-selector selector-dynamics frontier.,Consult only after the front door and routing layer when immediate pre-selector minimizer-section-core frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Observer-Relevant Pre-Selector Minimizer-Section Core Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector minimizer-section-core frontier had to either derive or justify that core or collapse it further and whose first option is now spent by the pre-selector selector-dynamics theorem.,historical,benchmark_gate_23_pre_selector_minimizer_section_core_frontier_criterion,selector-generating substrate pre-selector dynamics collapse to observer-relevant pre-selector minimizer-section core theorem,observer-relevant pre-selector minimizer-section core from pre-selector-minimizer-section-generating substrate selector dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector selector-dynamics frontier.,Records the former admissible move below the compressed pre-selector minimizer-section core and now serves as the routing handoff into the deeper pre-selector selector-dynamics frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector minimizer-section core.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_from_pre_selector_minimizer_section_generating_substrate_selector_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_from_pre_selector_minimizer_section_generating_substrate_selector_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_observer_relevant_pre_selector_minimizer_section_core_from_pre_selector_minimizer_section_generating_substrate_selector_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Observer-Relevant Pre-Selector Minimizer-Section Core from Pre-Selector-Minimizer-Section-Generating Substrate Selector Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current observer-relevant pre-selector minimizer-section core as a primitive stopping point before the later pre-selector kernel-dynamics theorem removed the current selector-dynamics package itself as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_kernel_frontier,selector-generating substrate pre-selector dynamics collapse to observer-relevant pre-selector minimizer-section core theorem and the recorded fixed selector benchmark base,pre-selector-minimizer-section-generating substrate selector dynamics from selector-dynamics-generating substrate pre-selector kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector kernel frontier.,Derives the current observer-relevant pre-selector minimizer-section core canonically from deeper selector dynamics and now serves as the handoff into the deeper pre-selector kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector kernel frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Pre-Selector-Minimizer-Section-Generating Substrate Selector Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector selector-dynamics frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the pre-selector kernel-dynamics theorem.,historical,benchmark_gate_24_pre_selector_selector_dynamics_frontier_criterion,observer-relevant pre-selector minimizer-section core from pre-selector-minimizer-section-generating substrate selector dynamics theorem,pre-selector-minimizer-section-generating substrate selector dynamics from selector-dynamics-generating substrate pre-selector kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector kernel frontier.,Records the former admissible move below the current selector-dynamics package and now serves as the routing handoff into the deeper pre-selector kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector selector-dynamics package.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_from_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_from_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_selector_minimizer_section_generating_substrate_selector_dynamics_from_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Pre-Selector-Minimizer-Section-Generating Substrate Selector Dynamics from Selector-Dynamics-Generating Substrate Pre-Selector Kernel Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current pre-selector-minimizer-section-generating substrate selector dynamics as a primitive stopping point before the later pre-selector pre-kernel theorem removed the current kernel package itself as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_pre_kernel_frontier,"observer-relevant pre-selector minimizer-section core from pre-selector-minimizer-section-generating substrate selector dynamics theorem, the recorded fixed selector benchmark base, and the recorded current selector-body geometry",selector-dynamics-generating substrate pre-selector kernel dynamics from kernel-dynamics-generating substrate pre-selector pre-kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector pre-kernel frontier.,Derives the current pre-selector selector-dynamics package canonically from deeper kernel dynamics and now serves as the handoff into the deeper pre-selector pre-kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector pre-kernel frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Selector-Dynamics-Generating Substrate Pre-Selector Kernel Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector kernel frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the pre-selector pre-kernel theorem.,historical,benchmark_gate_25_pre_selector_kernel_frontier_criterion,pre-selector-minimizer-section-generating substrate selector dynamics from selector-dynamics-generating substrate pre-selector kernel dynamics theorem,selector-dynamics-generating substrate pre-selector kernel dynamics from kernel-dynamics-generating substrate pre-selector pre-kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector pre-kernel frontier.,Records the former admissible move below the current pre-selector kernel package and now serves as the routing handoff into the deeper pre-selector pre-kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector kernel package.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_from_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_from_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_selector_dynamics_generating_substrate_pre_selector_kernel_dynamics_from_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Selector-Dynamics-Generating Substrate Pre-Selector Kernel Dynamics from Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Kernel Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current selector-dynamics-generating substrate pre-selector kernel dynamics as a primitive stopping point before the later proto-kernel theorem removed the current pre-selector pre-kernel dynamics as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_proto_kernel_frontier,"pre-selector-minimizer-section-generating substrate selector dynamics from selector-dynamics-generating substrate pre-selector kernel dynamics theorem, the recorded fixed selector benchmark base, the recorded current selector-body geometry, and the recorded current kernel-body geometry",kernel-dynamics-generating substrate pre-selector pre-kernel dynamics from pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector proto-kernel frontier.,Derives the current pre-selector kernel package canonically from deeper pre-kernel dynamics and now serves as the handoff into the deeper pre-selector proto-kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector proto-kernel frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Kernel Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector pre-kernel frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the proto-kernel theorem.,historical,benchmark_gate_26_pre_selector_pre_kernel_frontier_criterion,selector-dynamics-generating substrate pre-selector kernel dynamics from kernel-dynamics-generating substrate pre-selector pre-kernel dynamics theorem,kernel-dynamics-generating substrate pre-selector pre-kernel dynamics from pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector proto-kernel frontier.,Records the former admissible move below the current pre-selector pre-kernel package and now serves as the routing handoff into the deeper pre-selector proto-kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector pre-kernel package.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_from_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_from_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_kernel_dynamics_generating_substrate_pre_selector_pre_kernel_dynamics_from_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Kernel Dynamics from Pre-Kernel-Dynamics-Generating Substrate Pre-Selector Proto-Kernel Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current kernel-dynamics-generating substrate pre-selector pre-kernel dynamics as a primitive stopping point before the later pre-proto-kernel theorem removed the current proto-kernel dynamics as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_pre_proto_kernel_frontier,"selector-dynamics-generating substrate pre-selector kernel dynamics from kernel-dynamics-generating substrate pre-selector pre-kernel dynamics theorem, the recorded fixed selector benchmark base, the recorded current selector-body geometry, the recorded current kernel-body geometry, and the recorded current pre-kernel-body geometry",pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics from proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector pre-proto-kernel frontier.,Derives the current pre-selector pre-kernel package canonically from deeper proto-kernel dynamics and now serves as the handoff into the deeper pre-selector pre-proto-kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector pre-proto-kernel frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Pre-Kernel-Dynamics-Generating Substrate Pre-Selector Proto-Kernel Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector proto-kernel frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the pre-proto-kernel theorem.,historical,benchmark_gate_27_pre_selector_proto_kernel_frontier_criterion,kernel-dynamics-generating substrate pre-selector pre-kernel dynamics from pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics theorem,pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics from proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector pre-proto-kernel frontier.,Records the former admissible move below the current pre-selector proto-kernel package and now serves as the routing handoff into the deeper pre-selector pre-proto-kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector proto-kernel package.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_from_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_from_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_kernel_dynamics_generating_substrate_pre_selector_proto_kernel_dynamics_from_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Pre-Kernel-Dynamics-Generating Substrate Pre-Selector Proto-Kernel Dynamics from Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Proto-Kernel Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics as a primitive stopping point before the later pre-pre-proto-kernel theorem removed the current pre-proto-kernel dynamics as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_pre_pre_proto_kernel_frontier,"kernel-dynamics-generating substrate pre-selector pre-kernel dynamics from pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics theorem, the recorded fixed selector benchmark base, the recorded current selector-body geometry, the recorded current kernel-body geometry, the recorded current pre-kernel-body geometry, and the recorded current proto-kernel-body geometry",proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics from pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector pre-pre-proto-kernel frontier.,Derives the current pre-selector proto-kernel package canonically from deeper pre-proto-kernel dynamics and now serves as the handoff into the deeper pre-selector pre-pre-proto-kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector pre-pre-proto-kernel frontier history matters.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Proto-Kernel Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector pre-proto-kernel frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the pre-pre-proto-kernel theorem.,historical,benchmark_gate_28_pre_selector_pre_proto_kernel_frontier_criterion,pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics from proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics theorem,proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics from pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector pre-pre-proto-kernel frontier.,Records the former admissible move below the current pre-selector pre-proto-kernel package and now serves as the routing handoff into the deeper pre-selector pre-pre-proto-kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector pre-proto-kernel package.,2026-04-05 routing audit
aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_from_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_from_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_proto_kernel_dynamics_generating_substrate_pre_selector_pre_proto_kernel_dynamics_from_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Proto-Kernel Dynamics from Pre-Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Pre-Proto-Kernel Dynamics,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the current proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics as a primitive stopping point before the later pre-pre-pre-proto-kernel theorem removed the current pre-pre-proto-kernel dynamics as a primitive stopping point.,historical,primitive_reduction_prior_pre_selector_pre_pre_pre_proto_kernel_frontier,"pre-kernel-dynamics-generating substrate pre-selector proto-kernel dynamics from proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics theorem, the recorded fixed selector benchmark base, the recorded current selector-body geometry, the recorded current kernel-body geometry, the recorded current pre-kernel-body geometry, the recorded current proto-kernel-body geometry, and the recorded current pre-proto-kernel-body geometry",pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics from pre-pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-pre-proto-kernel dynamics theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the deeper pre-selector pre-pre-pre-proto-kernel frontier.,Derives the current pre-selector pre-proto-kernel package canonically from deeper pre-pre-proto-kernel dynamics and now serves as the handoff into the deeper pre-selector pre-pre-pre-proto-kernel frontier.,Consult only after the front door and routing layer when immediate pre-selector pre-pre-pre-proto-kernel frontier history matters.,2026-04-08 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Pre-Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Pre-Proto-Kernel Dynamics Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next honest move below the former pre-selector pre-pre-proto-kernel frontier had to either derive or justify that package or collapse it further and whose first option is now spent by the pre-pre-pre-proto-kernel theorem.,historical,benchmark_gate_29_pre_selector_pre_pre_proto_kernel_frontier_criterion,proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics from pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics theorem,pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics from pre-pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-pre-proto-kernel dynamics theorem,Preserves the prior routing handoff into the deeper pre-selector pre-pre-pre-proto-kernel frontier.,Records the former admissible move below the current pre-selector pre-pre-proto-kernel package and now serves as the routing handoff into the deeper pre-selector pre-pre-pre-proto-kernel frontier.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the former pre-selector pre-pre-proto-kernel package.,2026-04-08 routing audit
aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_from_pre_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_from_pre_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_pre_proto_kernel_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_proto_kernel_dynamics_from_pre_pre_proto_kernel_dynamics_generating_substrate_pre_selector_pre_pre_pre_proto_kernel_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Pre-Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Pre-Proto-Kernel Dynamics from Pre-Pre-Proto-Kernel-Dynamics-Generating Substrate Pre-Selector Pre-Pre-Pre-Proto-Kernel Dynamics,primitive_reservoir,theorem,side_continuation,primitive_reservoir_observer_reduction_line,side_work,Active deeper relay kept as exploratory side work because it pushes the unexplained layer below the bridge object without sharpening that object or discharging a benchmark derivation gate.,side_reference,primitive_reduction_side_pre_selector_pre_pre_pre_proto_kernel_relay,"proto-kernel-dynamics-generating substrate pre-selector pre-proto-kernel dynamics from pre-proto-kernel-dynamics-generating substrate pre-selector pre-pre-proto-kernel dynamics theorem, the recorded fixed selector benchmark base, the recorded current selector-body geometry, the recorded current kernel-body geometry, the recorded current pre-kernel-body geometry, the recorded current proto-kernel-body geometry, the recorded current pre-proto-kernel-body geometry, and the recorded current pre-pre-proto-kernel-body geometry",side continuation only unless a later result changes the bridge object or discharges a benchmark derivation gate,Does not change benchmark-facing status at current scope because it is a deeper same-output relay below the bridge object.,"Derives the current pre-selector pre-pre-proto-kernel package canonically from deeper pre-pre-pre-proto-kernel dynamics but now counts only as exploratory side work unless that branch changes the bridge object or clears a derivation gate.",Consult only when reconstructing or continuing the deeper pre-selector pre-pre-pre-proto-kernel side branch; do not use it to name the default next benchmark-facing manuscript.,2026-04-08 routing audit
